Country,Mentions,Latitude,Longitude,radius
Vanuatu,2074,-15.376706,166.959152,16
Philippines,200,12.879721,121.774017,4
Wellington,150,-41.286461,174.77623,3
New Zealand,166,-40.900558,174.885971,3
Japan,86,36.204823,138.25293,2
Australia,187,-25.274399,133.775131,2.5
USA,100,37.09024,-95.712891,2.6
Natalia,37,29.19458,-98.85787,1.35
Tanna,35,50.4946,11.86662,1.2
Indonesia,20,-0.789275,113.921326,1
Kiribati,22,-3.370417,-168.734039,1
UK,30,55.378052,-3.435973,1.3
Brazil,13,-14.235004,-51.925282,0.75
Solomon Islands,43,-9.64571,160.156189,1.65
